var,construct,sub,first_val,first_val_label
ID,-,,-,종단자료 연계를 위한 고유 ID
HID,-,,-,가구 ID
PID,-,,-,개인 ID
SCLID,-,,-,학교코드
YONLINE,-,,0,TAPI 조사
WEIGHTA1,-,,-,횡단면_원 가중치
WEIGHTA2,-,,-,횡단면_표준화 가중치
WEIGHTB1,-,,-,종단면_원 가중치
WEIGHTB2,-,,-,종단면_표준화 가중치
SIBLING,[형제자매] 원패널과의 관계,,1,형/오빠
SIBLING_T,[형제자매] 원패널과의 관계,,-,기타 (구체적으로)
SGRADE,[형제자매] 형제자매 학년,,1,초1
SURVEY1,조사참여 여부(청소년),,1,조사성공
SURVEY2,조사참여 여부(보호자),,1,조사성공
COHORT,코호트 구분,,1,초4 코호트 원패널
ARA1A,시/도(학교 기준),,1,서울
ARA2A,도시규모(학교기준),,1,대도시
ARA1B,시/도(거주지 기준),,1,서울
SCLTYP,고등학교 유형 (※ 학교정보 보호를 위해 응답결과를 리코드하여 공개),,1,일반 고등학교
YTWIN,쌍둥이 여부,,0,패널 내 쌍둥이 없음
YBRT1A,학생은 몇 년 몇 월에 태어났습니까? 실제 태어난 생년과 월을 아래에 써 주십시오.,,-,생년
YBRT1B,학생은 몇 년 몇 월에 태어났습니까? 실제 태어난 생년과 월을 아래에 써 주십시오.,,-,생월
YGENDER,학생의 성별은 무엇입니까?,,1,남자
YTIM1A01,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,평일 / 기상(평균적으로 일어나는 시간),-,시
YTIM1A02,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,평일 / 기상(평균적으로 일어나는 시간),-,분
YTIM1B01,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,평일 / 취침(평균적으로 잠드는 시간),-,시
YTIM1B02,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,평일 / 취침(평균적으로 잠드는 시간),-,분
YTIM1C01,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,평일 / 평소 잠을 잘 잡니까?,1,매우 못 잔다
YTIM1A03,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,주말 / 기상(평균적으로 일어나는 시간),-,시
YTIM1A04,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,주말 / 기상(평균적으로 일어나는 시간),-,분
YTIM1B03,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,주말 / 취침(평균적으로 잠드는 시간),-,시
YTIM1B04,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,주말 / 취침(평균적으로 잠드는 시간),-,분
YTIM1C02,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,주말 / 평소 잠을 잘 잡니까?,1,매우 못 잔다
YTIM1D01,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,부모님(또는 양육자)과 대화시간 / 평일,1,전혀 안 함
YTIM1D02,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,부모님(또는 양육자)과 대화시간 / 주말,1,전혀 안 함
YTIM1E01,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,학원 및 과외시간 / 평일,1,전혀 안 함
YTIM1E02,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.,학원 및 과외시간 / 주말,1,전혀 안 함
