prefix,n_items,items,sample_construct
YPSY4,36,YPSY4A01;YPSY4A02;YPSY4A03;YPSY4A04;YPSY4A05;YPSY4A06;YPSY4A07;YPSY4B01;YPSY4B02;YPSY4B03;YPSY4B04;YPSY4B05;YPSY4B06;YPSY4C01;YPSY4C02;YPSY4C03;YPSY4C04;YPSY4C05;YPSY4C06;YPSY4C07;YPSY4C08;YPSY4D01;YPSY4D02;YPSY4D03;YPSY4D04;YPSY4D05;YPSY4E01;YPSY4E02;YPSY4E03;YPSY4E04;YPSY4E05;YPSY4E06;YPSY4E07;YPSY4E08;YPSY4E09;YPSY4E10,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YINT2,32,YINT2A01;YINT2A02;YINT2A03;YINT2A04;YINT2A05;YINT2A06;YINT2A07;YINT2A08;YINT2A09;YINT2A10;YINT2A11;YINT2A12;YINT2A13;YINT2A14;YINT2A15;YINT2A16;YINT2B01;YINT2B02;YINT2B03;YINT2B04;YINT2B05;YINT2B06;YINT2B07;YINT2B08;YINT2B09;YINT2B10;YINT2B11;YINT2B12;YINT2B13;YINT2B14;YINT2B15;YINT2B16,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YTIM1,32,YTIM1A01;YTIM1A02;YTIM1A03;YTIM1A04;YTIM1B01;YTIM1B02;YTIM1B03;YTIM1B04;YTIM1C01;YTIM1C02;YTIM1D01;YTIM1D02;YTIM1E01;YTIM1E02;YTIM1F01;YTIM1F02;YTIM1G01;YTIM1G02;YTIM1H01;YTIM1H02;YTIM1I01;YTIM1I02;YTIM1J01;YTIM1J02;YTIM1K01;YTIM1K02;YTIM1L01;YTIM1L02;YTIM1M01;YTIM1M02;YTIM1N01;YTIM1N02,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.
YPSY6,31,YPSY6A01;YPSY6A02;YPSY6A03;YPSY6A04;YPSY6A05;YPSY6A06;YPSY6A07;YPSY6A08;YPSY6A09;YPSY6A10;YPSY6A11;YPSY6A12;YPSY6A13;YPSY6A14;YPSY6A15;YPSY6A16;YPSY6A17;YPSY6A18;YPSY6A19;YPSY6A20;YPSY6A21;YPSY6A22;YPSY6A23;YPSY6A24;YPSY6A25;YPSY6A26;YPSY6A27;YPSY6A28;YPSY6A29;YPSY6A30;YPSY6Asc,본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.
YMDA1,29,YMDA1A00;YMDA1B01;YMDA1B02;YMDA1B03;YMDA1B04;YMDA1B05;YMDA1B06;YMDA1B07;YMDA1B08;YMDA1B09;YMDA1B10;YMDA1B11;YMDA1B13;YMDA1B13_T;YMDA1C01;YMDA1C02;YMDA1C03;YMDA1C04;YMDA1C05;YMDA1C06;YMDA1C07;YMDA1C08;YMDA1C09;YMDA1C10;YMDA1C11;YMDA1C12;YMDA1C13;YMDA1C14;YMDA1C15,스마트폰을 사용합니까?
YFAM2,24,YFAM2A01;YFAM2A02;YFAM2A03;YFAM2A04;YFAM2B01;YFAM2B02;YFAM2B03;YFAM2B04;YFAM2C01;YFAM2C02;YFAM2C03;YFAM2C04;YFAM2D01;YFAM2D02;YFAM2D03;YFAM2D04;YFAM2E01;YFAM2E02;YFAM2E03;YFAM2E04;YFAM2F01;YFAM2F02;YFAM2F03;YFAM2F04,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YACT1,18,YACT1A01;YACT1A02;YACT1A03;YACT1A04;YACT1A05;YACT1A06;YACT1A07;YACT1A08;YACT1A09;YACT1B01;YACT1B02;YACT1B03;YACT1B04;YACT1B05;YACT1B06;YACT1B07;YACT1B08;YACT1B09,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오."
YDLQ2,15,YDLQ2A01;YDLQ2A02;YDLQ2A03;YDLQ2A04;YDLQ2A05;YDLQ2A06;YDLQ2A07;YDLQ2A08;YDLQ2A09;YDLQ2A10;YDLQ2A11;YDLQ2A12;YDLQ2A13;YDLQ2A14;YDLQ2A15,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YDLQ1,15,YDLQ1A01;YDLQ1A02;YDLQ1A03;YDLQ1A04;YDLQ1A05;YDLQ1A06;YDLQ1A07;YDLQ1A08;YDLQ1A09;YDLQ1A10;YDLQ1A11;YDLQ1A12;YDLQ1A13;YDLQ1A14;YDLQ1A15,지난 1년 동안 다음과 같은 행동을 한 경험이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YPSY5,14,YPSY5A01;YPSY5A02;YPSY5A03;YPSY5A04;YPSY5A05;YPSY5A06;YPSY5A07;YPSY5A08;YPSY5A09;YPSY5A10;YPSY5A11;YPSY5A12;YPSY5A13;YPSY5A14,다음 각 문항에 대하여 자신의 생각과 일치하는 항목에 응답해 주십시오.
YEDU3,14,YEDU3A01;YEDU3A02;YEDU3A03;YEDU3A04;YEDU3A05;YEDU3A06;YEDU3A07;YEDU3A08;YEDU3A09;YEDU3A10;YEDU3A11;YEDU3A12;YEDU3A13;YEDU3A14,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YEDU2,13,YEDU2A01;YEDU2A02;YEDU2A03;YEDU2A04;YEDU2A05;YEDU2A06;YEDU2A07;YEDU2A08;YEDU2A09;YEDU2A10;YEDU2A11;YEDU2A12;YEDU2A13,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YACT3,10,YACT3A00;YACT3B01;YACT3B02;YACT3B03;YACT3B04;YACT3B05;YACT3B06;YACT3B07;YACT3B08;YACT3B09,특별히 좋아하는 연예인이나 운동선수가 있습니까?
YPSY3,10,YPSY3A01;YPSY3A02;YPSY3A03;YPSY3A04;YPSY3A05;YPSY3A06;YPSY3A07;YPSY3A08;YPSY3A09;YPSY3A10,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YFUR2,9,YFUR2A01;YFUR2A02;YFUR2A03;YFUR2A04;YFUR2A05;YFUR2A06;YFUR2A07;YFUR2A08;YFUR2A08_T,"진로(진학, 직업 선택 등)와 관련하여 다음 분들과 얼마나 자주 대화(또는 상담)하십니까?"
YPSY7,8,YPSY7A01;YPSY7A02;YPSY7A03;YPSY7A04;YPSY7A05;YPSY7A06;YPSY7A07;YPSY7A08,다음 각 문항에 대해 평소 본인의 생각과 가장 가깝다고 생각되는 곳에 응답해 주십시오.
YPSY1,5,YPSY1A01;YPSY1A02;YPSY1A03;YPSY1A04;YPSY1A05,현재 자신의 생활에 대해 어떻게 생각하는지에 대한 질문입니다. 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YPSY2,4,YPSY2A01;YPSY2A02;YPSY2A03;YPSY2A04,아래 문항을 읽고 자신을 가장 잘 설명한다고 생각하는 항목에 응답해 주십시오.
YACT2,4,YACT2A01;YACT2A02;YACT2B01;YACT2B02,"지난 1년 동안 다음과 같은 동아리 활동에 참여한 경험이 있습니까?경험이 있다면 총 참여 횟수가 얼마나 되는지, 또한 그 경험이 얼마나 만족스러웠는지 응답해 주십시오."
YFAM1,4,YFAM1A01;YFAM1A02;YFAM1A03;YFAM1A04,부모님(부모님이 안 계신 경우에는 보호자)과 하루에 얼마나 시간을 함께 보내십니까? 평일과 주말로 구분하여 기입해 주십시오.
