     var                            construct                                                                      sub
YINT2A15 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.         공부를 하다보면 나도 모르게 집중할 때가 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A16 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                 나는 공부할 때 시간이 잘 간다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B01 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.      실력 차이를 내 힘으로 극복할 수는 없다고 생각한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B02 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오. 아무리 공부해도 내가 지금보다 더 잘할 수는 없다고 생각한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B03 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.      내 힘으로 학업 문제를 해결할 수는 없다고 생각한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B04 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오. 공부를 잘하기 위하여 내가 할 수 있는 일이 없다고 생각한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A01 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.    나는 내가 하고 있는 공부의 의미와 목적을 분명히 안다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A02 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.          나는 공부란 도전해 볼만한 것이라고 생각한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A07 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.              나는 공부할 때 정신적으로 힘이 난다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A08 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.         아침에 일어나면 수업 들으러 학교에 가고 싶다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A09 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                        나는 공부를 잘한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A10 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.           나는 공부에 있어 누구에게도 뒤지지 않는다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A11 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                     나는 공부에 자신이 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A12 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.      나는 어려운 과제도 충분히 해결할 만한 능력이 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A13 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.     나는 공부할 때 내 주변의 다른 모든 것을 잊어버린다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A14 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                나는 공부를 시작하면 푹 빠진다  / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B05 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                   공부에 신경 쓰고 싶지 않다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B06 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.               공부를 왜 해야 하는지 관심도 없다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B07 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.            공부를 열심히 해야 하는 이유를 모르겠다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B08 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.               공부하고 싶은 의욕이 생기지 않는다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B09 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                    공부하는 것이 즐겁지 않다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B10 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.    수업을 듣거나 모둠활동을 하면서 유쾌함을 느끼지 못한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B11 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.           학교에서 생활하면서 행복함을 느끼지 못한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B12 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.               점수가 잘 나온다 해도 기쁘지 않다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B13 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.              시험기간이라도 공부에 전념하지 않는다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B14 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                  스스로 알아서 공부하지 않는다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B15 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                수업에 적극적으로 참여하지 않는다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2B16 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.            스스로 알아서 학습계획을 짜본 적이 없다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A03 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                   나는 공부를 하면 뿌듯해진다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A04 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.      나는 공부를 통해 자아실현을 할 수 있다고 생각한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A05 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.            나는 공부할 때 힘이 나고 활기가 생긴다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YINT2A06 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                 나는 공부할 때 에너지가 생긴다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
