var,construct,sub,first_val,first_val_label,form
YSVL2A03,귀하의 부모님(부모님이 안계신 경우는 보호자)은 귀하에게 다음과 같은 행동을 한 적이 있습니까? 있다면 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),손으로 때리거나 발로 찼다 / 미세먼지,1,전혀 없다,m
YSVL2A02,귀하의 부모님(부모님이 안계신 경우는 보호자)은 귀하에게 다음과 같은 행동을 한 적이 있습니까? 있다면 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),회초리로 손바닥이나 종아리를 때렸다 / 미세먼지,1,전혀 없다,m
YSVL2A01,귀하의 부모님(부모님이 안계신 경우는 보호자)은 귀하에게 다음과 같은 행동을 한 적이 있습니까? 있다면 다음 각 문항에 대하여 자신에게 해당되는 시기에 모두 응답해 주십시오 (중복 응답 가능),욕설이나 무시하는 말 등 심한 말을 하였다 / 미세먼지,1,전혀 없다,m
YFUR4E00,([문 13-2-S]에서 ‘1. 한 번 이상 있다’인 경우만 응답) 지난 1년간 체험한 아르바이트 경험들은 자신이 향후 갖게 될 미래의 직업생활에 얼마나 도움이 될 것 같습니까?,진로 관련 인터넷 자료 / 미세먼지,1,전혀 도움이 되지 않을 것이다,m
YACT1A09,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","지난 1년간 참여 횟수 / 환경 보존 관련 활동(생태·숲 체험, 환경 살리기 등)",1,없다,m
YACT1B01,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.",(참여한 적이 있다면) 만족도 / 문화/예술 관련 활동(공연 감상 등),1,전혀 만족하지 않는다,m
YACT1B05,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","(참여한 적이 있다면) 만족도 / 직업/진로 관련 활동(직업 체험, 진로 탐색 등)",1,전혀 만족하지 않는다,m
YACT1B04,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","(참여한 적이 있다면) 만족도 / 자원봉사활동(일손 돕기, 자선·구호 등)",1,전혀 만족하지 않는다,m
YACT1B06,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.",(참여한 적이 있다면) 만족도 / 국제 교류 활동,1,전혀 만족하지 않는다,m
YACT1A01,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.",지난 1년간 참여 횟수 / 문화/예술 관련 활동(공연 감상 등),1,없다,m
YACT1A07,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","지난 1년간 참여 횟수 / 건강/보건 관련 활동(신체단련, 안전·응급처치 등)",1,없다,m
YACT1A08,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","지난 1년간 참여 횟수 / 자기(인성)계발 관련 활동(자기표현, 마음 수련 등)",1,없다,m
YACT1A02,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","지난 1년간 참여 횟수 / 과학/정보 관련 활동(경진 대회, 과학 실험 등)",1,없다,m
YACT1A03,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","지난 1년간 참여 횟수 / 모험/개척 관련 활동(탐사·등반, 야영 등)",1,없다,m
YACT1B08,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.","(참여한 적이 있다면) 만족도 / 자기(인성)계발 관련 활동(자기표현, 마음 수련 등)",1,전혀 만족하지 않는다,m
